is_cointegrated,p_value,critical_values,test_statistic,hedge_ratio,regression_results,symbol1,symbol2,data_points,start_date,end_date,correlation,spread_mean,spread_std,spread_min,spread_max,spread_skewness,spread_kurtosis,spread_half_life
True,0.005022967103550713,[-3.90211179 -3.33929113 -3.0466437 ],-4.107061990016911,284.79298767030843,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b1fd490>,BNBUSDT,OMUSDT,1935,2024-02-13T12:00:00,2024-12-31T20:00:00,0.6757351784541717,202.44761443157344,256.2725031417178,-610.1978324347583,538.0009143671239,-1.6981984811624335,1.5982580109801288,109.08561028661833
True,0.005610802519807456,[-3.90143643 -3.33891506 -3.04638277],-4.07429356188167,0.15598993715584647,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b093490>,MAVUSDT,OPUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9140158323723145,-0.01223832431440804,0.08179875788310571,-0.22423083441204966,0.2879824818624228,0.8787993732680222,0.4738162884036101,9.865108418139208
True,0.005690539340971936,[-3.90143643 -3.33891506 -3.04638277],-4.070091647005484,1.5222608631307681,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab999008b0>,ARBUSDT,MAGICUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9748841793633269,0.0005890473988413162,0.11730520602864183,-0.4065525474015508,0.5680082162085154,0.8648505060282456,3.384688957482515,7.766627616032449
True,0.0057811980450412975,[-3.90143643 -3.33891506 -3.04638277],-4.065378630183586,0.002545493083978797,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab998db5b0>,ALGOUSDT,LTCUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.915730117631155,-0.00742150990163984,0.0507874453962682,-0.0694465348460453,0.25042699280607467,1.83391340894277,3.5202397381671053,14.17555957984974
True,0.005799431135314875,[-3.90189429 -3.33917003 -3.04655967],-4.06443886732984,0.38674945469854427,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b05b400>,JUPUSDT,WIFUSDT,2012,2024-01-31T16:00:00,2024-12-31T20:00:00,0.8879417055073261,0.052881961047406306,0.1738007944605289,-0.48276389970033917,0.5652457626886176,0.26655144335940695,0.03250069664206068,6.974617569435514
True,0.006529683073190067,[-3.90211179 -3.33929113 -3.0466437 ],-4.028842101731849,0.006563218287557743,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b1bed90>,1000PEPEUSDT,OMUSDT,1935,2024-02-13T12:00:00,2024-12-31T20:00:00,0.8478156729420544,0.0020968996301083667,0.0037570182876899695,-0.00910805085009394,0.014120622908051928,-0.05055054053555896,0.4880944334705144,12.589800613316841
True,0.00681392360346293,[-3.90225328 -3.33936991 -3.04669835],-4.015955140327252,0.7428468839648605,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b093580>,MAVIAUSDT,WLDUSDT,1888,2024-02-21T08:00:00,2024-12-31T20:00:00,0.968208159150912,-0.024536817407273728,0.4565052942823402,-1.07196181365611,2.6367248249144426,1.117342283743128,3.8934505179158743,3.9688580545691923
True,0.006838529033616868,[-3.90143643 -3.33891506 -3.04638277],-4.014862555896524,0.015960098805590187,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab99ec9f40>,MAGICUSDT,ORDIUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9165017987894561,-0.02100346121073728,0.14854956592083224,-0.313376764703197,0.5522120215176982,0.6623444540512096,0.1968248652720761,10.453739974376184
True,0.007087747731916777,[-3.90143643 -3.33891506 -3.04638277],-4.003991980357993,0.4032038612117767,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fabb8a4ba60>,ALGOUSDT,CRVUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9176890370177998,0.005962701324563626,0.03570597705988055,-0.08901114688759801,0.23935661684932136,2.20069319831058,10.90599573410452,7.733731492910263
True,0.007264946430435886,[-3.90313045 -3.33985821 -3.04703711],-3.996470824169403,0.26617204726304367,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab787e1190>,CFXUSDT,ENAUSDT,1641,2024-04-02T12:00:00,2024-12-31T20:00:00,0.7790172203563878,0.01995098393528999,0.05128834530240823,-0.15210369754227432,0.18007745943576295,-0.7166497144798373,0.4595689227425952,8.876731812100092
True,0.0075390073433964245,[-3.90143643 -3.33891506 -3.04638277],-3.9851581280025954,2.7148502379350314,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab78fbbf10>,LDOUSDT,MAGICUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9504771226021306,0.08412395845168533,0.29957404119164643,-1.1164287272491138,1.1578485765653053,-0.2697933264226468,0.8661098356186572,8.600629109005899
True,0.0075587766795730095,[-3.90143643 -3.33891506 -3.04638277],-3.9843564997601195,178.60956763437164,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7faba21d5520>,ENSUSDT,HBARUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.7650836578952763,3.9961590577232,7.597051983698399,-28.042704897108337,19.11249644026951,-1.0866199681590851,1.0339737467601582,13.302008127104964
True,0.007727404399969427,[-3.90143643 -3.33891506 -3.04638277],-3.9775945559044144,0.052033435159331266,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8ac7be50>,OPUSDT,ORDIUSDT,2196,2024-01-01T00:00:00,2024-12-31T20:00:00,0.9161960959669047,0.008306531888147983,0.3445032438089085,-0.9781132309577334,1.0360514379591723,0.2726078267428329,-0.03487080162357126,7.428475380162372
True,0.007944999506079372,[-3.90250436 -3.3395097  -3.04679533],-3.9690627646154217,5.7258070559212015,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7fab8b054850>,JUPUSDT,MYROUSDT,1810,2024-03-05T08:00:00,2024-12-31T20:00:00,0.5002754509917836,0.16066695784144755,0.36223617647154754,-1.817663157554997,0.65560314804406,-2.1640938509000884,6.188740895840754,6.749654764229662
